question,positive_chunk,positive_chunk_id,paragraph_id
How does the use of organic brown rice syrup in food products affect the concentration of arsenic in these products?,"Arsenic, Organic Foods, and Brown Rice Syrup
Background: Rice can be a major source of inorganic arsenic (Asi) for many sub-populations. Rice products are also used as ingredients in prepared foods, some of which may not be obviously rice based. Organic brown rice syrup (OBRS) is used as a sweetener in organic food products as an alternative to high-fructose corn syrup. We hypothesized that OBRS introduces As into these products. Objective: We determined the concentration and speciation of As in commercially available brown rice syrups and in products containing OBRS, including toddler formula, cereal/energy bars, and high-energy foods used by endurance athletes. Methods: We used inductively coupled plasma mass spectrometry (ICP-MS) and ion chromatography coupled to ICP-MS to determine total As (Astotal) concentrations and As speciation in products purchased via the Internet or in stores in the Hanover, New Hampshire, area. Discussion: We found that OBRS can contain high concentrations of Asi and dimethyl-arsenate (DMA). An “organic” toddler milk formula containing OBRS as the primary ingredient had Astotal concentrations up to six times the U.S. Environmental Protection Agency safe drinking water limit. Cereal bars and high-energy foods containing OBRS also had higher As concentrations than equivalent products that did not contain OBRS. Asi was the main As species in most food products tested in this study. Conclusions: There are currently no U.S. regulations applicable to As in food, but our findings suggest that the OBRS products we evaluated may introduce significant concentrations of Asi into an individual’s diet. Thus, we conclude that there is an urgent need for regulatory limits on As in food.",0,3
"Are there any regulatory limits on the amount of arsenic in food products, and if not, what are the potential health risks associated with consuming high levels of arsenic in food?","Arsenic, Organic Foods, and Brown Rice Syrup
Background: Rice can be a major source of inorganic arsenic (Asi) for many sub-populations. Rice products are also used as ingredients in prepared foods, some of which may not be obviously rice based. Organic brown rice syrup (OBRS) is used as a sweetener in organic food products as an alternative to high-fructose corn syrup. We hypothesized that OBRS introduces As into these products. Objective: We determined the concentration and speciation of As in commercially available brown rice syrups and in products containing OBRS, including toddler formula, cereal/energy bars, and high-energy foods used by endurance athletes. Methods: We used inductively coupled plasma mass spectrometry (ICP-MS) and ion chromatography coupled to ICP-MS to determine total As (Astotal) concentrations and As speciation in products purchased via the Internet or in stores in the Hanover, New Hampshire, area. Discussion: We found that OBRS can contain high concentrations of Asi and dimethyl-arsenate (DMA). An “organic” toddler milk formula containing OBRS as the primary ingredient had Astotal concentrations up to six times the U.S. Environmental Protection Agency safe drinking water limit. Cereal bars and high-energy foods containing OBRS also had higher As concentrations than equivalent products that did not contain OBRS. Asi was the main As species in most food products tested in this study. Conclusions: There are currently no U.S. regulations applicable to As in food, but our findings suggest that the OBRS products we evaluated may introduce significant concentrations of Asi into an individual’s diet. Thus, we conclude that there is an urgent need for regulatory limits on As in food.",0,3
How does curcumin sensitize drug-resistant tumors?,"Death by design: where curcumin sensitizes drug-resistant tumours.
Chemotherapy remains the core of anticancer treatment. However, despite the tremendous strides made in the development of targeted anticancer therapies, emergence of resistance to chemotherapeutic drugs is still a major obstacle in the successful management of resistant tumours. Therefore, profound investigation into the in-depth molecular mechanisms of drug resistance is essential and may hopefully translate into effective therapies that can flip the switch from drug resistance to susceptibility. Mechanistically, resistance phenomena may be explained by (i) overexpression of drug efflux pumps, (ii) enhanced drug detoxification, (iii) rapid DNA repair efficiency, (iv) defects in apoptosis regulation, and (v) active cell survival signals. Several adverse effects associated with multidrug resistance and the need for safe multi-targeted anticancer drugs instigated the use of the phytochemical, curcumin, the yellow pigment of the spice turmeric, which has pleotropic activities. We performed a structured literature review using PubMed and Medline searches with secondary review of cited publications, identifying studies on the role of curcumin in conquering drug resistance in cancer. This review describes how curcumin sensitizes cancer cells through regulation of multiple multidrug resistance pathways, thus employing one drug for multiple targets. Curcumin helps the cancer cells to regain their 'forgotten' apoptosis, modulates drug-target interaction at different levels, restrains survival pathways when their proteins are overexpressed, and finds an alternate way to carry forward the process of sensitization of different resistant tumours. Additionally, the review dissects the role of curcumin, if any, in targeting the major culprit of drug resistance, cancer stem cells (CSC), thereby circumventing resistance. Taken together, this review strongly suggests that curcumin is a promising chemosensitizing agent and that the unique properties of curcumin may be exploited for successful management of resistant tumours.",0,4
"What are the mechanisms of drug resistance in cancer, and how can curcumin overcome them?","Death by design: where curcumin sensitizes drug-resistant tumours.
Chemotherapy remains the core of anticancer treatment. However, despite the tremendous strides made in the development of targeted anticancer therapies, emergence of resistance to chemotherapeutic drugs is still a major obstacle in the successful management of resistant tumours. Therefore, profound investigation into the in-depth molecular mechanisms of drug resistance is essential and may hopefully translate into effective therapies that can flip the switch from drug resistance to susceptibility. Mechanistically, resistance phenomena may be explained by (i) overexpression of drug efflux pumps, (ii) enhanced drug detoxification, (iii) rapid DNA repair efficiency, (iv) defects in apoptosis regulation, and (v) active cell survival signals. Several adverse effects associated with multidrug resistance and the need for safe multi-targeted anticancer drugs instigated the use of the phytochemical, curcumin, the yellow pigment of the spice turmeric, which has pleotropic activities. We performed a structured literature review using PubMed and Medline searches with secondary review of cited publications, identifying studies on the role of curcumin in conquering drug resistance in cancer. This review describes how curcumin sensitizes cancer cells through regulation of multiple multidrug resistance pathways, thus employing one drug for multiple targets. Curcumin helps the cancer cells to regain their 'forgotten' apoptosis, modulates drug-target interaction at different levels, restrains survival pathways when their proteins are overexpressed, and finds an alternate way to carry forward the process of sensitization of different resistant tumours. Additionally, the review dissects the role of curcumin, if any, in targeting the major culprit of drug resistance, cancer stem cells (CSC), thereby circumventing resistance. Taken together, this review strongly suggests that curcumin is a promising chemosensitizing agent and that the unique properties of curcumin may be exploited for successful management of resistant tumours.",0,4
Can curcumin target cancer stem cells to circumvent drug resistance in tumors?,"Death by design: where curcumin sensitizes drug-resistant tumours.
Chemotherapy remains the core of anticancer treatment. However, despite the tremendous strides made in the development of targeted anticancer therapies, emergence of resistance to chemotherapeutic drugs is still a major obstacle in the successful management of resistant tumours. Therefore, profound investigation into the in-depth molecular mechanisms of drug resistance is essential and may hopefully translate into effective therapies that can flip the switch from drug resistance to susceptibility. Mechanistically, resistance phenomena may be explained by (i) overexpression of drug efflux pumps, (ii) enhanced drug detoxification, (iii) rapid DNA repair efficiency, (iv) defects in apoptosis regulation, and (v) active cell survival signals. Several adverse effects associated with multidrug resistance and the need for safe multi-targeted anticancer drugs instigated the use of the phytochemical, curcumin, the yellow pigment of the spice turmeric, which has pleotropic activities. We performed a structured literature review using PubMed and Medline searches with secondary review of cited publications, identifying studies on the role of curcumin in conquering drug resistance in cancer. This review describes how curcumin sensitizes cancer cells through regulation of multiple multidrug resistance pathways, thus employing one drug for multiple targets. Curcumin helps the cancer cells to regain their 'forgotten' apoptosis, modulates drug-target interaction at different levels, restrains survival pathways when their proteins are overexpressed, and finds an alternate way to carry forward the process of sensitization of different resistant tumours. Additionally, the review dissects the role of curcumin, if any, in targeting the major culprit of drug resistance, cancer stem cells (CSC), thereby circumventing resistance. Taken together, this review strongly suggests that curcumin is a promising chemosensitizing agent and that the unique properties of curcumin may be exploited for successful management of resistant tumours.",0,4
What are the best sources of antioxidants for protecting neuronal cells?,"Sweet and sour cherry phenolics and their protective effects on neuronal cells.
The identification of phenolics from various cultivars of fresh sweet and sour cherries and their protective effects on neuronal cells were comparatively evaluated in this study. Phenolics in cherries of four sweet and four sour cultivars were extracted and analyzed for total phenolics, total anthocyanins, and their antineurodegenerative activities. Total phenolics in sweet and sour cherries per 100 g ranged from 92.1 to 146.8 and from 146.1 to 312.4 mg gallic acid equivalents, respectively. Total anthocyanins of sweet and sour cherries ranged from 30.2 to 76.6 and from 49.1 to 109.2 mg cyanidin 3-glucoside equivalents, respectively. High-performance liquid chromatography (HPLC) analysis revealed that anthocyanins such as cyanidin and peonidin derivatives were prevalent phenolics. Hydroxycinnamic acids consisted of neochlorogenic acid, chlorogenic acid, and p-coumaric acid derivatives. Glycosides of quercetin, kaempferol, and isorhamnetin were also found. Generally, sour cherries had higher concentrations of total phenolics than sweet cherries, due to a higher concentration of anthocyanins and hydroxycinnamic acids. A positive linear correlation (r2 = 0.985) was revealed between the total anthocyanins measured by summation of individual peaks from HPLC analysis and the total anthocyanins measured by the pH differential method, indicating that there was in a close agreement with two quantifying methods for measuring anthocyanin contents. Cherry phenolics protected neuronal cells (PC 12) from cell-damaging oxidative stress in a dose-dependent manner mainly due to anthocyanins. Overall results showed that cherries are rich in phenolics, especially in anthocyanins, with a strong antineurodegenerative activity and that they can serve as a good source of biofunctional phytochemicals in our diet.",0,5
How do the phenolic content and antineurodegenerative activities of sweet and sour cherries compare?,"Sweet and sour cherry phenolics and their protective effects on neuronal cells.
The identification of phenolics from various cultivars of fresh sweet and sour cherries and their protective effects on neuronal cells were comparatively evaluated in this study. Phenolics in cherries of four sweet and four sour cultivars were extracted and analyzed for total phenolics, total anthocyanins, and their antineurodegenerative activities. Total phenolics in sweet and sour cherries per 100 g ranged from 92.1 to 146.8 and from 146.1 to 312.4 mg gallic acid equivalents, respectively. Total anthocyanins of sweet and sour cherries ranged from 30.2 to 76.6 and from 49.1 to 109.2 mg cyanidin 3-glucoside equivalents, respectively. High-performance liquid chromatography (HPLC) analysis revealed that anthocyanins such as cyanidin and peonidin derivatives were prevalent phenolics. Hydroxycinnamic acids consisted of neochlorogenic acid, chlorogenic acid, and p-coumaric acid derivatives. Glycosides of quercetin, kaempferol, and isorhamnetin were also found. Generally, sour cherries had higher concentrations of total phenolics than sweet cherries, due to a higher concentration of anthocyanins and hydroxycinnamic acids. A positive linear correlation (r2 = 0.985) was revealed between the total anthocyanins measured by summation of individual peaks from HPLC analysis and the total anthocyanins measured by the pH differential method, indicating that there was in a close agreement with two quantifying methods for measuring anthocyanin contents. Cherry phenolics protected neuronal cells (PC 12) from cell-damaging oxidative stress in a dose-dependent manner mainly due to anthocyanins. Overall results showed that cherries are rich in phenolics, especially in anthocyanins, with a strong antineurodegenerative activity and that they can serve as a good source of biofunctional phytochemicals in our diet.",0,5
What is the most effective method for measuring the anthocyanin content of cherries?,"Sweet and sour cherry phenolics and their protective effects on neuronal cells.
The identification of phenolics from various cultivars of fresh sweet and sour cherries and their protective effects on neuronal cells were comparatively evaluated in this study. Phenolics in cherries of four sweet and four sour cultivars were extracted and analyzed for total phenolics, total anthocyanins, and their antineurodegenerative activities. Total phenolics in sweet and sour cherries per 100 g ranged from 92.1 to 146.8 and from 146.1 to 312.4 mg gallic acid equivalents, respectively. Total anthocyanins of sweet and sour cherries ranged from 30.2 to 76.6 and from 49.1 to 109.2 mg cyanidin 3-glucoside equivalents, respectively. High-performance liquid chromatography (HPLC) analysis revealed that anthocyanins such as cyanidin and peonidin derivatives were prevalent phenolics. Hydroxycinnamic acids consisted of neochlorogenic acid, chlorogenic acid, and p-coumaric acid derivatives. Glycosides of quercetin, kaempferol, and isorhamnetin were also found. Generally, sour cherries had higher concentrations of total phenolics than sweet cherries, due to a higher concentration of anthocyanins and hydroxycinnamic acids. A positive linear correlation (r2 = 0.985) was revealed between the total anthocyanins measured by summation of individual peaks from HPLC analysis and the total anthocyanins measured by the pH differential method, indicating that there was in a close agreement with two quantifying methods for measuring anthocyanin contents. Cherry phenolics protected neuronal cells (PC 12) from cell-damaging oxidative stress in a dose-dependent manner mainly due to anthocyanins. Overall results showed that cherries are rich in phenolics, especially in anthocyanins, with a strong antineurodegenerative activity and that they can serve as a good source of biofunctional phytochemicals in our diet.",0,5
What are the effects of sulfide on colonic mucosa proliferation?,"Antagonistic effects of sulfide and butyrate on proliferation of colonic mucosa: a potential role for these agents in the pathogenesis of ulcerativ...
It has been shown that feces of patients with ulcerative colitis uniformly contain sulfate reducing bacteria. Sulfide produced by these bacteria interferes with butyrate-dependent energy metabolism of cultured colonocytes and may be involved in the pathogenesis of ulcerative colitis. Mucosal biopsies from the sigmoid rectum of 10 patients (no caner, polyps, inflammatory bowel disease) were incubated with either NaCl, sodium hydrogen sulfide (1 mmol/L), a combination of both sodium hydrogen sulfide and butyrate (10 mmol/L), or butyrate. Mucosal proliferation was assessed by bromodeoxyuridine labeling of cells in S-phase. Compared to NaCl, sulfide increased the labeling of the entire crypt significantly, by 19% (p < 0.05). This effect was due to an expansion of the proliferative zone to the upper crypt (compartments 3-5), where the increase in proliferation was 54%. Sulfide-induced hyperproliferation was reversed when samples were coincubated with sulfide and butyrate. The study shows that sodium hydrogen sulfide induces mucosal hyperproliferation. Our data support a possible role of sulfide in the pathogenesis of UC and confirm the role of butyrate in the regulation of colonic proliferation and in the treatment of UC.",0,6
How does butyrate regulate colonic proliferation in the treatment of ulcerative colitis?,"Antagonistic effects of sulfide and butyrate on proliferation of colonic mucosa: a potential role for these agents in the pathogenesis of ulcerativ...
It has been shown that feces of patients with ulcerative colitis uniformly contain sulfate reducing bacteria. Sulfide produced by these bacteria interferes with butyrate-dependent energy metabolism of cultured colonocytes and may be involved in the pathogenesis of ulcerative colitis. Mucosal biopsies from the sigmoid rectum of 10 patients (no caner, polyps, inflammatory bowel disease) were incubated with either NaCl, sodium hydrogen sulfide (1 mmol/L), a combination of both sodium hydrogen sulfide and butyrate (10 mmol/L), or butyrate. Mucosal proliferation was assessed by bromodeoxyuridine labeling of cells in S-phase. Compared to NaCl, sulfide increased the labeling of the entire crypt significantly, by 19% (p < 0.05). This effect was due to an expansion of the proliferative zone to the upper crypt (compartments 3-5), where the increase in proliferation was 54%. Sulfide-induced hyperproliferation was reversed when samples were coincubated with sulfide and butyrate. The study shows that sodium hydrogen sulfide induces mucosal hyperproliferation. Our data support a possible role of sulfide in the pathogenesis of UC and confirm the role of butyrate in the regulation of colonic proliferation and in the treatment of UC.",0,6
