[UE1] [2025-07-19 11:34:39] [  5]   0.00-1.00   sec  3.77 MBytes  31.7 Mbits/sec  0.228 ms  0/2733 (0%)
[UE1] [2025-07-19 11:34:55] [  5]  16.00-17.00  sec  3.58 MBytes  30.0 Mbits/sec  0.188 ms  0/2590 (0%)
[UE1] [2025-07-19 11:34:56] [  5]  17.00-18.00  sec  3.57 MBytes  30.0 Mbits/sec  0.146 ms  0/2587 (0%)
[UE1] [2025-07-19 11:34:57] [  5]  18.00-19.00  sec  3.58 MBytes  30.0 Mbits/sec  0.234 ms  0/2593 (0%)
[UE1] [2025-07-19 11:34:58] [  5]  19.00-20.00  sec  3.58 MBytes  30.0 Mbits/sec  0.208 ms  0/2589 (0%)
[UE1] [2025-07-19 11:34:59] [  5]  20.00-21.00  sec  3.58 MBytes  30.0 Mbits/sec  0.159 ms  0/2593 (0%)
[UE1] [2025-07-19 11:35:00] [  5]  21.00-22.00  sec  3.57 MBytes  30.0 Mbits/sec  0.189 ms  0/2587 (0%)
[UE1] [2025-07-19 11:35:01] [  5]  22.00-23.00  sec  3.57 MBytes  30.0 Mbits/sec  0.177 ms  0/2588 (0%)
[UE1] [2025-07-19 11:35:02] [  5]  23.00-24.00  sec  3.58 MBytes  30.0 Mbits/sec  0.206 ms  0/2592 (0%)
[UE1] [2025-07-19 11:35:03] [  5]  24.00-25.00  sec  3.58 MBytes  30.0 Mbits/sec  0.122 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:04] [  5]  25.00-26.00  sec  3.58 MBytes  30.0 Mbits/sec  0.179 ms  0/2591 (0%)
[UE1] [2025-07-19 11:35:05] [  5]  26.00-27.00  sec  3.58 MBytes  30.0 Mbits/sec  0.148 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:06] [  5]  27.00-28.00  sec  3.58 MBytes  30.0 Mbits/sec  0.105 ms  0/2592 (0%)
[UE1] [2025-07-19 11:35:07] [  5]  28.00-29.00  sec  3.58 MBytes  30.0 Mbits/sec  0.254 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:08] [  5]  29.00-30.00  sec  3.57 MBytes  30.0 Mbits/sec  0.248 ms  0/2587 (0%)
[UE1] [2025-07-19 11:35:09] [  5]  30.00-31.00  sec  3.58 MBytes  30.0 Mbits/sec  0.246 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:10] [  5]  31.00-32.00  sec  3.58 MBytes  30.0 Mbits/sec  0.297 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:11] [  5]  32.00-33.00  sec  3.58 MBytes  30.0 Mbits/sec  0.132 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:12] [  5]  33.00-34.00  sec  3.58 MBytes  30.0 Mbits/sec  0.109 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:13] [  5]  34.00-35.00  sec  3.58 MBytes  30.0 Mbits/sec  0.209 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:14] [  5]  35.00-36.00  sec  3.58 MBytes  30.0 Mbits/sec  0.195 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:15] [  5]  36.00-37.00  sec  3.58 MBytes  30.0 Mbits/sec  0.284 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:16] [  5]  37.00-38.00  sec  3.58 MBytes  30.0 Mbits/sec  0.142 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:17] [  5]  38.00-39.00  sec  3.58 MBytes  30.0 Mbits/sec  0.159 ms  0/2591 (0%)
[UE1] [2025-07-19 11:35:18] [  5]  39.00-40.00  sec  3.58 MBytes  30.0 Mbits/sec  0.126 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:19] [  5]  40.00-41.00  sec  3.58 MBytes  30.0 Mbits/sec  0.153 ms  0/2591 (0%)
[UE1] [2025-07-19 11:35:20] [  5]  41.00-42.00  sec  3.57 MBytes  30.0 Mbits/sec  0.147 ms  0/2588 (0%)
[UE1] [2025-07-19 11:35:21] [  5]  42.00-43.00  sec  3.58 MBytes  30.0 Mbits/sec  0.182 ms  0/2591 (0%)
[UE1] [2025-07-19 11:35:22] [  5]  43.00-44.00  sec  3.57 MBytes  30.0 Mbits/sec  0.395 ms  0/2586 (0%)
[UE1] [2025-07-19 11:35:23] [  5]  44.00-45.00  sec  3.57 MBytes  29.9 Mbits/sec  0.140 ms  8/2593 (0.31%)
[UE1] [2025-07-19 11:35:24] [  5]  45.00-46.00  sec  3.57 MBytes  30.0 Mbits/sec  0.231 ms  0/2587 (0%)
[UE1] [2025-07-19 11:35:25] [  5]  46.00-47.00  sec  3.58 MBytes  30.0 Mbits/sec  0.141 ms  0/2593 (0%)
[UE1] [2025-07-19 11:35:26] [  5]  47.00-48.00  sec  3.58 MBytes  30.0 Mbits/sec  0.184 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:27] [  5]  48.00-49.00  sec  3.58 MBytes  30.0 Mbits/sec  0.186 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:28] [  5]  49.00-50.00  sec  3.58 MBytes  30.0 Mbits/sec  0.243 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:29] [  5]  50.00-51.00  sec  3.58 MBytes  30.0 Mbits/sec  0.198 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:30] [  5]  51.00-52.00  sec  3.58 MBytes  30.0 Mbits/sec  0.209 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:31] [  5]  52.00-53.00  sec  3.58 MBytes  30.0 Mbits/sec  0.283 ms  0/2591 (0%)
[UE1] [2025-07-19 11:35:32] [  5]  53.00-54.00  sec  3.58 MBytes  30.0 Mbits/sec  0.107 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:33] [  5]  54.00-55.00  sec  3.58 MBytes  30.0 Mbits/sec  0.264 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:34] [  5]  55.00-56.00  sec  3.58 MBytes  30.0 Mbits/sec  0.100 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:35] [  5]  56.00-57.00  sec  3.58 MBytes  30.0 Mbits/sec  0.165 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:36] [  5]  57.00-58.00  sec  3.58 MBytes  30.0 Mbits/sec  0.156 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:37] [  5]  58.00-59.00  sec  3.58 MBytes  30.0 Mbits/sec  0.203 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:38] [  5]  59.00-60.00  sec  3.58 MBytes  30.0 Mbits/sec  0.172 ms  0/2592 (0%)
[UE1] [2025-07-19 11:35:39] [  5]  60.00-61.00  sec  3.57 MBytes  30.0 Mbits/sec  0.179 ms  0/2587 (0%)
[UE1] [2025-07-19 11:35:40] [  5]  61.00-62.00  sec  3.58 MBytes  30.0 Mbits/sec  0.166 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:41] [  5]  62.00-63.00  sec  3.57 MBytes  30.0 Mbits/sec  0.200 ms  0/2587 (0%)
[UE1] [2025-07-19 11:35:42] [  5]  63.00-64.00  sec  3.58 MBytes  30.0 Mbits/sec  0.166 ms  0/2591 (0%)
[UE1] [2025-07-19 11:35:43] [  5]  64.00-65.00  sec  3.58 MBytes  30.0 Mbits/sec  0.202 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:44] [  5]  65.00-66.00  sec  3.58 MBytes  30.0 Mbits/sec  0.216 ms  0/2591 (0%)
[UE1] [2025-07-19 11:35:45] [  5]  66.00-67.00  sec  3.58 MBytes  30.0 Mbits/sec  0.256 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:46] [  5]  67.00-68.00  sec  3.58 MBytes  30.0 Mbits/sec  0.269 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:47] [  5]  68.00-69.00  sec  3.58 MBytes  30.0 Mbits/sec  0.234 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:48] [  5]  69.00-70.00  sec  3.58 MBytes  30.0 Mbits/sec  0.201 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:49] [  5]  70.00-71.00  sec  3.58 MBytes  30.0 Mbits/sec  0.230 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:50] [  5]  71.00-72.00  sec  3.58 MBytes  30.0 Mbits/sec  0.187 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:51] [  5]  72.00-73.00  sec  3.57 MBytes  30.0 Mbits/sec  0.187 ms  0/2588 (0%)
[UE1] [2025-07-19 11:35:52] [  5]  73.00-74.00  sec  3.57 MBytes  30.0 Mbits/sec  0.098 ms  0/2587 (0%)
[UE1] [2025-07-19 11:35:53] [  5]  74.00-75.00  sec  3.58 MBytes  30.1 Mbits/sec  0.126 ms  0/2595 (0%)
[UE1] [2025-07-19 11:35:54] [  5]  75.00-76.00  sec  3.58 MBytes  30.0 Mbits/sec  0.111 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:55] [  5]  76.00-77.00  sec  3.58 MBytes  30.0 Mbits/sec  0.112 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:56] [  5]  77.00-78.00  sec  3.58 MBytes  30.0 Mbits/sec  0.162 ms  0/2592 (0%)
[UE1] [2025-07-19 11:35:57] [  5]  78.00-79.00  sec  3.57 MBytes  30.0 Mbits/sec  0.205 ms  0/2587 (0%)
[UE1] [2025-07-19 11:35:58] [  5]  79.00-80.00  sec  3.58 MBytes  30.0 Mbits/sec  0.133 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:59] [  5]  80.00-81.00  sec  3.58 MBytes  30.0 Mbits/sec  0.158 ms  0/2591 (0%)
[UE1] [2025-07-19 11:36:00] [  5]  81.00-82.00  sec  3.57 MBytes  30.0 Mbits/sec  0.068 ms  3/2589 (0.12%)
[UE1] [2025-07-19 11:36:01] [  5]  82.00-83.00  sec  3.58 MBytes  30.0 Mbits/sec  0.240 ms  0/2590 (0%)
[UE1] [2025-07-19 11:36:02] [  5]  83.00-84.00  sec  3.58 MBytes  30.0 Mbits/sec  0.108 ms  0/2590 (0%)
[UE1] [2025-07-19 11:36:03] [  5]  84.00-85.00  sec  3.57 MBytes  29.9 Mbits/sec  0.369 ms  0/2584 (0%)
[UE1] [2025-07-19 11:36:04] [  5]  85.00-86.00  sec  3.56 MBytes  29.9 Mbits/sec  0.646 ms  7/2585 (0.27%)
[UE1] [2025-07-19 11:36:05] [  5]  86.00-87.00  sec  3.58 MBytes  30.1 Mbits/sec  0.287 ms  0/2596 (0%)
[UE1] [2025-07-19 11:36:06] [  5]  87.00-88.00  sec  3.58 MBytes  30.0 Mbits/sec  0.255 ms  0/2593 (0%)
[UE1] [2025-07-19 11:36:07] [  5]  88.00-89.00  sec  3.58 MBytes  30.0 Mbits/sec  0.202 ms  0/2589 (0%)
[UE1] [2025-07-19 11:36:08] [  5]  89.00-90.00  sec  3.58 MBytes  30.0 Mbits/sec  0.173 ms  0/2591 (0%)
[UE1] [2025-07-19 11:36:09] [  5]  90.00-91.00  sec  3.57 MBytes  30.0 Mbits/sec  0.272 ms  0/2588 (0%)
[UE1] [2025-07-19 11:36:10] [  5]  91.00-92.00  sec  3.58 MBytes  30.0 Mbits/sec  0.229 ms  0/2591 (0%)
[UE1] [2025-07-19 11:36:11] [  5]  92.00-93.00  sec  3.58 MBytes  30.0 Mbits/sec  0.261 ms  0/2591 (0%)
[UE1] [2025-07-19 11:36:12] [  5]  93.00-94.00  sec  3.58 MBytes  30.0 Mbits/sec  0.215 ms  0/2589 (0%)
[UE1] [2025-07-19 11:36:13] [  5]  94.00-95.00  sec  3.58 MBytes  30.0 Mbits/sec  0.164 ms  0/2589 (0%)
[UE1] [2025-07-19 11:36:14] [  5]  95.00-96.00  sec  3.58 MBytes  30.0 Mbits/sec  0.065 ms  0/2591 (0%)
[UE1] [2025-07-19 11:36:15] [  5]  96.00-97.00  sec  3.57 MBytes  29.9 Mbits/sec  0.244 ms  0/2584 (0%)
[UE1] [2025-07-19 11:36:16] [  5]  97.00-98.00  sec  3.58 MBytes  30.1 Mbits/sec  0.192 ms  0/2595 (0%)
[UE1] [2025-07-19 11:36:17] [  5]  98.00-99.00  sec  3.58 MBytes  30.0 Mbits/sec  0.106 ms  0/2590 (0%)
[UE1] [2025-07-19 11:36:18] [  5]  99.00-100.00 sec  3.57 MBytes  30.0 Mbits/sec  0.090 ms  0/2587 (0%)
[UE1] [2025-07-19 11:36:21] [  5]   0.00-1.00   sec  6.99 MBytes  58.6 Mbits/sec  0.280 ms  0/5062 (0%)
[UE1] [2025-07-19 11:36:22] [  5]   1.00-2.00   sec  9.05 MBytes  76.0 Mbits/sec  0.097 ms  956/7512 (13%)
[UE1] [2025-07-19 11:36:23] [  5]   2.00-3.00   sec  9.98 MBytes  83.7 Mbits/sec  0.107 ms  2945/10171 (29%)
[UE1] [2025-07-19 11:36:24] [  5]   3.00-4.00   sec  10.2 MBytes  85.5 Mbits/sec  0.101 ms  3172/10556 (30%)
[UE1] [2025-07-19 11:36:25] [  5]   4.00-5.00   sec  10.0 MBytes  83.9 Mbits/sec  0.111 ms  3011/10254 (29%)
[UE1] [2025-07-19 11:36:26] [  5]   5.00-6.00   sec  10.8 MBytes  90.5 Mbits/sec  0.094 ms  3175/10983 (29%)
[UE1] [2025-07-19 11:36:27] [  5]   6.00-7.00   sec  9.39 MBytes  78.8 Mbits/sec  0.080 ms  2658/9461 (28%)
[UE1] [2025-07-19 11:36:28] [  5]   7.00-8.00   sec  10.2 MBytes  85.4 Mbits/sec  0.111 ms  3159/10530 (30%)
[UE1] [2025-07-19 11:36:29] [  5]   8.00-9.00   sec  10.0 MBytes  84.0 Mbits/sec  0.073 ms  3616/10864 (33%)
[UE1] [2025-07-19 11:36:30] [  5]   9.00-10.00  sec  10.2 MBytes  85.5 Mbits/sec  0.085 ms  2963/10345 (29%)
[UE1] [2025-07-19 11:36:31] [  5]  10.00-11.00  sec  10.0 MBytes  83.9 Mbits/sec  0.088 ms  2759/10006 (28%)
[UE1] [2025-07-19 11:36:32] [  5]  11.00-12.00  sec  10.2 MBytes  85.4 Mbits/sec  0.127 ms  2980/10354 (29%)
[UE1] [2025-07-19 11:36:33] [  5]  12.00-13.00  sec  10.8 MBytes  90.5 Mbits/sec  0.100 ms  3202/11017 (29%)
[UE1] [2025-07-19 11:36:34] [  5]  13.00-14.00  sec  9.99 MBytes  83.8 Mbits/sec  0.078 ms  2838/10074 (28%)
[UE1] [2025-07-19 11:36:35] [  5]  14.00-15.00  sec  10.2 MBytes  85.5 Mbits/sec  0.075 ms  2781/10160 (27%)
[UE1] [2025-07-19 11:36:36] [  5]  15.00-16.00  sec  9.97 MBytes  83.7 Mbits/sec  0.101 ms  2873/10096 (28%)
[UE1] [2025-07-19 11:36:37] [  5]  16.00-17.00  sec  10.2 MBytes  85.5 Mbits/sec  0.126 ms  3086/10470 (29%)
[UE1] [2025-07-19 11:36:38] [  5]  17.00-18.00  sec  9.99 MBytes  83.8 Mbits/sec  0.080 ms  2975/10210 (29%)
[UE1] [2025-07-19 11:36:39] [  5]  18.00-19.00  sec  10.2 MBytes  85.6 Mbits/sec  0.101 ms  3257/10647 (31%)
[UE1] [2025-07-19 11:36:40] [  5]  19.00-20.00  sec  9.39 MBytes  78.8 Mbits/sec  0.124 ms  2713/9515 (29%)
[UE1] [2025-07-19 11:36:41] [  5]  20.00-21.00  sec  9.98 MBytes  83.7 Mbits/sec  0.082 ms  3660/10888 (34%)
[UE1] [2025-07-19 11:36:42] [  5]  21.00-22.00  sec  10.2 MBytes  85.6 Mbits/sec  0.074 ms  3031/10417 (29%)
[UE1] [2025-07-19 11:36:43] [  5]  22.00-23.00  sec  10.1 MBytes  84.9 Mbits/sec  0.117 ms  3095/10426 (30%)
[UE1] [2025-07-19 11:36:44] [  5]  23.00-24.00  sec  9.98 MBytes  83.7 Mbits/sec  0.075 ms  3170/10399 (30%)
[UE1] [2025-07-19 11:36:45] [  5]  24.00-25.00  sec  10.2 MBytes  85.4 Mbits/sec  0.077 ms  2961/10337 (29%)
[UE1] [2025-07-19 11:36:46] [  5]  25.00-26.00  sec  9.56 MBytes  80.2 Mbits/sec  0.093 ms  2925/9849 (30%)
[UE1] [2025-07-19 11:36:47] [  5]  26.00-27.00  sec  10.6 MBytes  89.2 Mbits/sec  0.117 ms  3783/11483 (33%)
[UE1] [2025-07-19 11:36:48] [  5]  27.00-28.00  sec  9.11 MBytes  76.4 Mbits/sec  0.110 ms  2509/9103 (28%)
[UE1] [2025-07-19 11:36:49] [  5]  28.00-29.00  sec  9.68 MBytes  81.2 Mbits/sec  0.081 ms  3844/10856 (35%)
[UE1] [2025-07-19 11:36:50] [  5]  29.00-30.00  sec  10.0 MBytes  83.8 Mbits/sec  0.106 ms  3261/10499 (31%)
[UE1] [2025-07-19 11:36:51] [  5]  30.00-31.00  sec  10.8 MBytes  90.5 Mbits/sec  0.084 ms  3184/10996 (29%)
[UE1] [2025-07-19 11:36:52] [  5]  31.00-32.00  sec  10.2 MBytes  85.5 Mbits/sec  0.075 ms  2729/10111 (27%)
[UE1] [2025-07-19 11:36:53] [  5]  32.00-33.00  sec  10.0 MBytes  83.8 Mbits/sec  0.076 ms  2910/10148 (29%)
[UE1] [2025-07-19 11:36:54] [  5]  33.00-34.00  sec  10.2 MBytes  85.5 Mbits/sec  0.093 ms  3113/10495 (30%)
[UE1] [2025-07-19 11:36:55] [  5]  34.00-35.00  sec  9.99 MBytes  83.8 Mbits/sec  0.087 ms  2806/10039 (28%)
[UE1] [2025-07-19 11:36:56] [  5]  35.00-36.00  sec  10.2 MBytes  85.4 Mbits/sec  0.085 ms  3061/10433 (29%)
[UE1] [2025-07-19 11:36:57] [  5]  36.00-37.00  sec  10.0 MBytes  83.9 Mbits/sec  0.080 ms  2962/10205 (29%)
[UE1] [2025-07-19 11:36:58] [  5]  37.00-38.00  sec  10.8 MBytes  90.4 Mbits/sec  0.088 ms  3214/11021 (29%)
[UE1] [2025-07-19 11:36:59] [  5]  38.00-39.00  sec  10.2 MBytes  85.5 Mbits/sec  0.121 ms  3007/10390 (29%)
[UE1] [2025-07-19 11:37:00] [  5]  39.00-40.00  sec  8.60 MBytes  72.1 Mbits/sec  0.093 ms  2462/8689 (28%)
[UE1] [2025-07-19 11:37:01] [  5]  40.00-41.00  sec  10.2 MBytes  85.6 Mbits/sec  0.108 ms  4245/11631 (36%)
[UE1] [2025-07-19 11:37:02] [  5]  41.00-42.00  sec  10.0 MBytes  83.9 Mbits/sec  0.124 ms  3258/10501 (31%)
[UE1] [2025-07-19 11:37:03] [  5]  42.00-43.00  sec  10.2 MBytes  85.5 Mbits/sec  0.130 ms  2876/10255 (28%)
[UE1] [2025-07-19 11:37:04] [  5]  43.00-44.00  sec  10.2 MBytes  85.4 Mbits/sec  0.122 ms  3237/10608 (31%)
[UE1] [2025-07-19 11:37:05] [  5]  44.00-45.00  sec  9.98 MBytes  83.7 Mbits/sec  0.087 ms  3004/10233 (29%)
[UE1] [2025-07-19 11:37:06] [  5]  45.00-46.00  sec  10.2 MBytes  85.6 Mbits/sec  0.118 ms  3048/10434 (29%)
[UE1] [2025-07-19 11:37:07] [  5]  46.00-47.00  sec  10.0 MBytes  83.8 Mbits/sec  0.079 ms  2913/10151 (29%)
[UE1] [2025-07-19 11:37:08] [  5]  47.00-48.00  sec  10.2 MBytes  85.5 Mbits/sec  0.098 ms  3159/10541 (30%)
[UE1] [2025-07-19 11:37:09] [  5]  48.00-49.00  sec  9.99 MBytes  83.7 Mbits/sec  0.105 ms  3022/10253 (29%)
[UE1] [2025-07-19 11:37:10] [  5]  49.00-50.00  sec  10.0 MBytes  83.9 Mbits/sec  0.080 ms  2834/10074 (28%)
[UE1] [2025-07-19 11:37:11] [  5]  50.00-51.00  sec  10.2 MBytes  85.4 Mbits/sec  0.126 ms  2991/10363 (29%)
[UE1] [2025-07-19 11:37:12] [  5]  51.00-52.00  sec  9.40 MBytes  78.8 Mbits/sec  0.086 ms  2774/9578 (29%)
[UE1] [2025-07-19 11:37:13] [  5]  52.00-53.00  sec  10.2 MBytes  85.4 Mbits/sec  0.124 ms  4188/11564 (36%)
[UE1] [2025-07-19 11:37:14] [  5]  53.00-54.00  sec  10.0 MBytes  83.9 Mbits/sec  0.094 ms  3062/10303 (30%)
[UE1] [2025-07-19 11:37:15] [  5]  54.00-55.00  sec  10.2 MBytes  85.5 Mbits/sec  0.097 ms  2974/10357 (29%)
[UE1] [2025-07-19 11:37:16] [  5]  55.00-56.00  sec  10.0 MBytes  83.9 Mbits/sec  0.081 ms  3018/10260 (29%)
[UE1] [2025-07-19 11:37:17] [  5]  56.00-57.00  sec  10.2 MBytes  85.6 Mbits/sec  0.082 ms  2930/10316 (28%)
[UE1] [2025-07-19 11:37:18] [  5]  57.00-58.00  sec  9.98 MBytes  83.7 Mbits/sec  0.078 ms  3103/10332 (30%)
[UE1] [2025-07-19 11:37:19] [  5]  58.00-59.00  sec  10.2 MBytes  85.5 Mbits/sec  0.089 ms  3029/10407 (29%)
[UE1] [2025-07-19 11:37:20] [  5]  59.00-60.00  sec  9.38 MBytes  78.7 Mbits/sec  0.068 ms  2802/9597 (29%)
[UE1] [2025-07-19 11:37:21] [  5]  60.00-61.00  sec  10.0 MBytes  83.8 Mbits/sec  0.088 ms  3500/10738 (33%)
[UE1] [2025-07-19 11:37:22] [  5]  61.00-62.00  sec  10.8 MBytes  90.6 Mbits/sec  0.101 ms  3209/11029 (29%)
[UE1] [2025-07-19 11:37:23] [  5]  62.00-63.00  sec  9.39 MBytes  78.8 Mbits/sec  0.115 ms  2590/9393 (28%)
[UE1] [2025-07-19 11:37:24] [  5]  63.00-64.00  sec  10.2 MBytes  85.4 Mbits/sec  0.090 ms  3451/10822 (32%)
[UE1] [2025-07-19 11:37:25] [  5]  64.00-65.00  sec  10.8 MBytes  90.6 Mbits/sec  0.091 ms  3365/11186 (30%)
[UE1] [2025-07-19 11:37:26] [  5]  65.00-66.00  sec  9.39 MBytes  78.7 Mbits/sec  0.109 ms  2585/9382 (28%)
[UE1] [2025-07-19 11:37:27] [  5]  66.00-67.00  sec  10.8 MBytes  90.5 Mbits/sec  0.100 ms  3384/11199 (30%)
[UE1] [2025-07-19 11:37:28] [  5]  67.00-68.00  sec  10.0 MBytes  83.9 Mbits/sec  0.102 ms  2850/10093 (28%)
[UE1] [2025-07-19 11:37:29] [  5]  68.00-69.00  sec  10.2 MBytes  85.5 Mbits/sec  0.111 ms  2863/10242 (28%)
[UE1] [2025-07-19 11:37:30] [  5]  69.00-70.00  sec  9.98 MBytes  83.7 Mbits/sec  0.079 ms  2899/10125 (29%)
[UE1] [2025-07-19 11:37:31] [  5]  70.00-71.00  sec  9.41 MBytes  79.0 Mbits/sec  0.094 ms  2701/9517 (28%)
[UE1] [2025-07-19 11:37:32] [  5]  71.00-72.00  sec  10.2 MBytes  85.6 Mbits/sec  0.079 ms  3867/11253 (34%)
[UE1] [2025-07-19 11:37:33] [  5]  72.00-73.00  sec  9.98 MBytes  83.8 Mbits/sec  0.075 ms  3123/10352 (30%)
[UE1] [2025-07-19 11:37:34] [  5]  73.00-74.00  sec  10.2 MBytes  85.5 Mbits/sec  0.125 ms  3042/10420 (29%)
[UE1] [2025-07-19 11:37:35] [  5]  74.00-75.00  sec  9.98 MBytes  83.7 Mbits/sec  0.098 ms  3218/10447 (31%)
[UE1] [2025-07-19 11:37:36] [  5]  75.00-76.00  sec  10.2 MBytes  85.6 Mbits/sec  0.088 ms  3205/10591 (30%)
[UE1] [2025-07-19 11:37:37] [  5]  76.00-77.00  sec  10.0 MBytes  83.8 Mbits/sec  0.084 ms  2851/10089 (28%)
[UE1] [2025-07-19 11:37:38] [  5]  77.00-78.00  sec  10.2 MBytes  85.5 Mbits/sec  0.085 ms  3040/10422 (29%)
[UE1] [2025-07-19 11:37:39] [  5]  78.00-79.00  sec  10.0 MBytes  83.8 Mbits/sec  0.083 ms  3079/10317 (30%)
[UE1] [2025-07-19 11:37:40] [  5]  79.00-80.00  sec  10.2 MBytes  85.4 Mbits/sec  0.113 ms  3043/10418 (29%)
[UE1] [2025-07-19 11:37:41] [  5]  80.00-81.00  sec  9.97 MBytes  83.7 Mbits/sec  0.116 ms  2998/10221 (29%)
[UE1] [2025-07-19 11:37:42] [  5]  81.00-82.00  sec  10.2 MBytes  85.6 Mbits/sec  0.088 ms  2954/10343 (29%)
[UE1] [2025-07-19 11:37:43] [  5]  82.00-83.00  sec  10.0 MBytes  83.9 Mbits/sec  0.112 ms  2957/10200 (29%)
[UE1] [2025-07-19 11:37:44] [  5]  83.00-84.00  sec  10.2 MBytes  85.4 Mbits/sec  0.096 ms  3075/10446 (29%)
[UE1] [2025-07-19 11:37:45] [  5]  84.00-85.00  sec  9.99 MBytes  83.8 Mbits/sec  0.070 ms  2871/10105 (28%)
[UE1] [2025-07-19 11:37:46] [  5]  85.00-86.00  sec  10.2 MBytes  85.5 Mbits/sec  0.099 ms  3302/10684 (31%)
[UE1] [2025-07-19 11:37:47] [  5]  86.00-87.00  sec  10.7 MBytes  89.6 Mbits/sec  0.121 ms  3165/10902 (29%)
[UE1] [2025-07-19 11:37:48] [  5]  87.00-88.00  sec  8.73 MBytes  73.2 Mbits/sec  0.082 ms  2341/8660 (27%)
[UE1] [2025-07-19 11:37:49] [  5]  88.00-89.00  sec  10.2 MBytes  85.4 Mbits/sec  0.077 ms  4079/11450 (36%)
